dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,solution_u_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_subnet_args_hidden_dim,spinn_enabled_dynamical_F,model_id,solution_u_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,dynamical_F_args_dropout,solution_u_subnet_args_layers_num,dynamical_F_args_layers_num,solution_u_subnet_args_dropout,dynamical_F_subnet_args_dropout,num_params,solution_u_args_dropout,solution_u_subnet_args_activation,spinn_enabled_solution_u,dynamical_F_args_activation,solution_u_args_activation,solution_u_subnet_args_output_dim,mean_MAE,mean_MAPE,mean_RMSE
-1.0,-1.0,-1.0,60.0,-1.0,False,155,-1.0,-1,8.0,0.0,3.0,5.0,0.0,-1.0,15479,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.007813974826907119,0.8452356,0.01060048682151863
10.0,5.0,-1.0,-1.0,15.0,True,24,-1.0,leaky-relu,8.0,-1.0,5.0,-1.0,0.0,0.0,36611,-1.0,leaky-relu,True,-1,-1,5.0,0.007948378566652536,0.8621845,0.010616986386094311
-1.0,-1.0,-1.0,20.0,-1.0,False,86,-1.0,-1,15.0,0.0,3.0,2.0,0.0,-1.0,8068,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007619844283908606,0.8267634,0.010635378591786914
-1.0,-1.0,-1.0,20.0,-1.0,False,90,-1.0,-1,23.0,0.0,5.0,2.0,0.0,-1.0,35812,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007784797810018063,0.8458941,0.010649529648952832
-1.0,-1.0,-1.0,60.0,-1.0,False,161,-1.0,-1,23.0,0.0,3.0,5.0,0.0,-1.0,29504,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.00754774563635389,0.8188197,0.010658177095826173
5.0,5.0,-1.0,-1.0,8.0,True,66,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,26033,-1.0,leaky-relu,True,-1,-1,15.0,0.007490006818746527,0.8119919,0.010690533345314461
-1.0,-1.0,-1.0,40.0,-1.0,False,152,-1.0,-1,23.0,0.0,3.0,5.0,0.0,-1.0,22704,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007511170192932089,0.8151782,0.010714531756583255
10.0,5.0,-1.0,-1.0,15.0,True,69,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,48188,-1.0,leaky-relu,True,-1,-1,15.0,0.007725224131718278,0.83655787,0.010747698793089159
-1.0,-1.0,-1.0,40.0,-1.0,False,125,-1.0,-1,23.0,0.0,3.0,3.0,0.0,-1.0,19424,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007806961579869191,0.8457863,0.010774234962922203
-1.0,-1.0,-1.0,40.0,-1.0,False,123,-1.0,-1,15.0,0.0,5.0,3.0,0.0,-1.0,18608,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007704043838505943,0.8360529,0.010774271767650022
-1.0,-1.0,-1.0,20.0,-1.0,False,117,-1.0,-1,23.0,0.0,5.0,3.0,0.0,-1.0,36232,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.007859888797005018,0.85313755,0.010782073598501585
