batch,output_dim,hidden_dim,num_layer,dropout,num_param,MAE,MAPE,RMSE
2-2,10,15,2,0.1,9128,0.008773455396294594,0.95248044,0.011486019259895666
2-2,3,5,2,0.0,6374,0.009555992670357227,1.027829,0.011911019440827845
2-2,10,15,3,0.0,13208,0.009517545811831951,1.0303632,0.012192109047226523
2-2,3,5,3,0.0,6884,0.009854653850197792,1.0621494,0.012605619639686632
2-2,6,9,5,0.0,11814,0.010201926343142986,1.1013967,0.013218183638799457
2-2,3,5,2,0.2,6374,0.01097816787660122,1.1795598,0.013464288374179427
2-2,10,15,5,0.0,21368,0.010731382295489311,1.1587418,0.01364997510493206
2-2,1,2,5,0.0,6323,0.009734193794429302,1.0597777,0.01378519806290736
2-2,15,23,5,0.0,40952,0.01236596517264843,1.322611,0.014709990539772979
2-2,1,2,2,0.1,6017,0.01200275681912899,1.2932477,0.015014949849832773
2-2,1,2,2,0.0,6017,0.013904250226914883,1.4672959,0.01627247105612844
2-2,1,2,2,0.2,6017,0.01570669189095497,1.7001351,0.019730950684213516
2-2,1,2,3,0.0,6119,0.015364078804850578,1.6441431,0.019997608724751797
2-2,15,23,3,0.1,22184,0.018492599949240685,1.9864348,0.024993962857224643
2-2,10,15,3,0.1,13208,0.024216128513216972,2.5764563,0.028773661423502437
2-2,15,23,3,0.2,22184,0.025416946038603783,2.6964693,0.0313234304688549
2-2,10,15,3,0.2,13208,0.026936344802379608,2.9112084,0.03235263799668179
2-2,6,9,3,0.1,8754,0.028069201856851578,3.015151,0.03518497267261702
2-2,3,5,3,0.2,6884,0.029873089864850044,3.2275782,0.03738185486967061
2-2,6,9,3,0.2,8754,0.03170371055603027,3.3655663,0.0376525484388803
2-2,-1,-1,-1,-1.0,13662,0.03312467411160469,3.546944,0.039310678724813725
2-2,10,15,5,0.1,21368,0.032210882753133774,3.4976144,0.04089584771175451
2-2,3,5,3,0.1,6884,0.034779712557792664,3.7265687,0.041283723263555165
2-2,15,23,5,0.1,40952,0.03266330063343048,3.5461624,0.041554193325406955
2-2,1,2,3,0.1,6119,0.03490203619003296,3.7729185,0.04307089255660413
2-2,1,2,5,0.1,6323,0.03498101606965065,3.760155,0.04311824795612398
2-2,15,23,5,0.2,40952,0.03632011637091637,3.8867376,0.04361404225667349
2-2,1,2,3,0.2,6119,0.03544129058718681,3.826626,0.04370076030132481
2-2,10,15,5,0.2,21368,0.0351860485970974,3.8142629,0.04426420065102736
2-2,3,5,5,0.2,7904,0.03282148763537407,3.5633254,0.04465161273876183
2-2,6,9,5,0.1,11814,0.038045771420001984,4.0116115,0.045558939504730105
2-2,3,5,5,0.1,7904,0.037644144147634506,4.05125,0.04595950558523187
2-2,6,9,5,0.2,11814,0.039221104234457016,4.140327,0.04611941669594568
2-2,1,2,5,0.2,6323,0.03770346939563751,4.0651994,0.04615855823300025
3-3,15,23,3,0.0,22184,0.004975039046257734,0.5362104,0.006146553710114447
3-3,3,5,3,0.0,6884,0.0057920729741454124,0.62804246,0.0076259121099674
3-3,6,9,3,0.0,8754,0.005791447125375271,0.6336964,0.0076550148890947795
3-3,10,15,2,0.2,9128,0.006374017335474491,0.6950654,0.008431982968158884
3-3,15,23,2,0.2,12800,0.006559646688401699,0.71459955,0.008651780493337292
3-3,10,15,3,0.0,13208,0.006494108587503433,0.7124848,0.008933428900275243
3-3,10,15,2,0.0,9128,0.0071678063832223415,0.7748764,0.008941494562789712
3-3,1,2,2,0.0,6017,0.006820302922278643,0.7460353,0.009426032420651287
3-3,15,23,2,0.0,12800,0.007012132555246353,0.76682174,0.009773266678384749
3-3,10,15,2,0.1,9128,0.007263340521603823,0.79435337,0.009893206838115001
3-3,6,9,2,0.2,7224,0.006666104309260845,0.7382005,0.010089071274301139
3-3,6,9,2,0.0,7224,0.007552602328360081,0.82158065,0.010104414445232005
3-3,6,9,5,0.0,11814,0.007444350514560938,0.8111571,0.010128044228967702
3-3,15,23,5,0.0,40952,0.006744104437530041,0.7478443,0.010186022110661818
3-3,15,23,2,0.1,12800,0.007830223999917507,0.85344666,0.010256146146587665
3-3,3,5,5,0.0,7904,0.0072724767960608006,0.80159307,0.010440675541348976
3-3,1,2,5,0.0,6323,0.0072528342716395855,0.8072924,0.011372772510824893
3-3,10,15,5,0.0,21368,0.007739382795989513,0.857818,0.011772915957140731
3-3,3,5,2,0.2,6374,0.008900687098503113,0.9729005,0.01182321217488139
3-3,6,9,2,0.1,7224,0.008458777330815792,0.9310969,0.011984080771658762
3-3,1,2,2,0.1,6017,0.00797698087990284,0.88729644,0.013059851058065182
3-3,3,5,2,0.1,6374,0.010542425327003002,1.1563743,0.013848302614080389
3-3,1,2,3,0.0,6119,0.011899707838892937,1.2958705,0.015798550188624087
3-3,3,5,2,0.0,6374,0.01316617801785469,1.4211721,0.01599902497177289
3-3,10,15,3,0.1,13208,0.01153076533228159,1.2574633,0.016273222222108363
3-3,15,23,3,0.2,22184,0.013290119357407093,1.4453976,0.016964343465290195
3-3,15,23,3,0.1,22184,0.014917266555130482,1.614965,0.019204607590022682
3-3,1,2,2,0.2,6017,0.016752561554312706,1.8007889,0.021046109702582055
3-3,6,9,3,0.2,8754,0.018451066687703133,2.017909,0.02508579843282689
3-3,10,15,3,0.2,13208,0.01853710412979126,2.0217664,0.025243149761919173
3-3,6,9,3,0.1,8754,0.020005611702799797,2.1948147,0.026177934667470953
3-3,3,5,3,0.1,6884,0.022010166198015213,2.3773844,0.028056103334085484
3-3,10,15,5,0.2,21368,0.02143998257815838,2.3513741,0.029565944478146772
3-3,6,9,5,0.1,11814,0.024032097309827805,2.6208258,0.03038657394164546
3-3,3,5,5,0.1,7904,0.025788703933358192,2.8107984,0.03386975847867176
3-3,1,2,3,0.1,6119,0.027220919728279114,2.9671388,0.03478684996326735
3-3,1,2,5,0.1,6323,0.031172243878245354,3.3619285,0.036102556113219705
3-3,10,15,5,0.1,21368,0.030990978702902794,3.3291354,0.036823375254810026
3-3,3,5,5,0.2,7904,0.029884343966841698,3.227913,0.03694379721555272
3-3,15,23,5,0.1,40952,0.02774260938167572,3.0385287,0.037151452414996934
3-3,-1,-1,-1,-1.0,13662,0.02715407870709896,2.974274,0.037399774468125695
3-3,3,5,3,0.2,6884,0.026392126455903053,2.9104764,0.03756124727612623
3-3,1,2,5,0.2,6323,0.032314252108335495,3.4805574,0.03937433615240323
3-3,15,23,5,0.2,40952,0.0356733612716198,3.7689295,0.04029482904920619
3-3,1,2,3,0.2,6119,0.03360126167535782,3.6508462,0.04372552906844181
3-3,6,9,5,0.2,11814,0.03306260704994202,3.6506195,0.04677503825023138
4-4,3,5,5,0.0,7904,0.006523565389215946,0.7120633,0.011151948907646871
4-4,15,23,5,0.0,40952,0.0074273888021707535,0.8049153,0.011375135575360318
4-4,6,9,5,0.0,11814,0.0073387776501476765,0.7971757,0.011535256621484092
4-4,10,15,5,0.0,21368,0.00821607280522585,0.8912852,0.01177559788061693
4-4,10,15,3,0.0,13208,0.008115354925394058,0.88029736,0.01249341891596188
4-4,3,5,3,0.0,6884,0.008838866837322712,0.95809007,0.012916282722828408
4-4,3,5,2,0.2,6374,0.00845323409885168,0.91557276,0.01296567228559153
4-4,6,9,2,0.1,7224,0.00881203543394804,0.95448977,0.013085718895915312
4-4,6,9,2,0.0,7224,0.008645753376185894,0.9345667,0.013366676901010495
4-4,3,5,2,0.1,6374,0.008749146945774555,0.9479362,0.013509503025288085
4-4,15,23,3,0.0,22184,0.008853777311742306,0.96342945,0.013656596498102207
4-4,10,15,2,0.0,9128,0.008023513481020927,0.8715,0.013932583696191814
4-4,15,23,2,0.2,12800,0.008780848234891891,0.95448035,0.014325801895619451
4-4,6,9,2,0.2,7224,0.008925268426537514,0.9701644,0.014465728887111857
4-4,15,23,2,0.0,12800,0.00867930892854929,0.9450601,0.014595610013394504
4-4,15,23,2,0.1,12800,0.008803628385066986,0.95697194,0.014868051625595522
4-4,10,15,2,0.2,9128,0.008801617659628391,0.9566877,0.014871470450936392
4-4,6,9,3,0.0,8754,0.009455326944589615,1.0264974,0.014933390469618123
4-4,10,15,2,0.1,9128,0.009467425756156445,1.030606,0.01566708566799094
4-4,15,23,3,0.1,22184,0.012906154617667198,1.402172,0.017181311788401023
4-4,-1,-1,-1,-1.0,13662,0.01458410732448101,1.5543561,0.017371352307690272
4-4,10,15,3,0.2,13208,0.013287406414747238,1.4342437,0.018099889946392306
4-4,1,2,3,0.1,6119,0.01490706391632557,1.6070274,0.021001616156469928
4-4,3,5,3,0.1,6884,0.016129765659570694,1.7268945,0.021668673871983592
4-4,15,23,3,0.2,22184,0.01734929531812668,1.8578722,0.022552725102875395
4-4,6,9,3,0.1,8754,0.018672021105885506,2.0103416,0.02285296846409123
4-4,10,15,3,0.1,13208,0.021063949912786484,2.2505758,0.024619478089479733
4-4,3,5,2,0.0,6374,0.014779298566281796,1.6222249,0.02493115586199157
4-4,6,9,5,0.2,11814,0.019767288118600845,2.1502686,0.026140130553312064
4-4,1,2,5,0.1,6323,0.023170284926891327,2.5068433,0.028079016168236513
4-4,3,5,3,0.2,6884,0.02458144724369049,2.6241322,0.028426536353318408
4-4,1,2,3,0.2,6119,0.024671301245689392,2.642261,0.028926900425689437
4-4,15,23,5,0.1,40952,0.025543324649333954,2.7321033,0.029508708990359376
4-4,6,9,3,0.2,8754,0.02669611945748329,2.8290536,0.029736249082676358
4-4,15,23,5,0.2,40952,0.02531726285815239,2.7309089,0.030328900729269012
4-4,10,15,5,0.2,21368,0.025265054777264595,2.7071357,0.0303328214307266
4-4,1,2,5,0.0,6323,0.019091490656137466,2.0509677,0.030414228916937777
4-4,10,15,5,0.1,21368,0.027306076139211655,2.9156177,0.03089735426794383
4-4,3,5,5,0.2,7904,0.026040319353342056,2.7897491,0.031633381617870354
4-4,3,5,5,0.1,7904,0.028066812083125114,3.0177443,0.032929306443816385
4-4,1,2,5,0.2,6323,0.028496652841567993,3.0451703,0.03386353495315016
4-4,1,2,2,0.2,6017,0.027281222864985466,2.9418495,0.03590624729242389
4-4,6,9,5,0.1,11814,0.03007870353758335,3.174868,0.03792856942806543
4-4,1,2,3,0.0,6119,0.030977599322795868,3.3340917,0.03961768790109384
4-4,1,2,2,0.0,6017,0.03840872645378113,4.1137967,0.04608178296563513
4-4,1,2,2,0.1,6017,0.03318699821829796,3.5558057,0.047450965159410094
5-5,15,23,2,0.2,12800,0.004726185463368893,0.51937824,0.00882249300612295
5-5,10,15,2,0.0,9128,0.0050443257205188274,0.5538681,0.009156197660208283
5-5,1,2,3,0.0,6119,0.006235347129404545,0.67702675,0.009413988484219283
5-5,3,5,3,0.0,6884,0.005452327895909548,0.5960443,0.009482511820499154
5-5,10,15,3,0.0,13208,0.0057261623442173,0.6252387,0.009499938134686848
5-5,15,23,5,0.0,40952,0.004939406644552946,0.5447321,0.00963158747697184
5-5,6,9,2,0.2,7224,0.00564669631421566,0.6194207,0.009663928517081262
5-5,6,9,3,0.0,8754,0.0056902640499174595,0.62056255,0.009791460730717575
5-5,1,2,5,0.0,6323,0.006316078826785088,0.6802891,0.009893971676407959
