spinn_enabled_solution_u,spinn_enabled_dynamical_F,solution_u_subnet_args_output_dim,solution_u_subnet_args_layers_num,solution_u_subnet_args_hidden_dim,solution_u_subnet_args_dropout,solution_u_subnet_args_activation,dynamical_F_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_args_dropout,dynamical_F_args_activation,model_id,num_params,MAE,MAPE,RMSE,batch,dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,dynamical_F_subnet_args_hidden_dim,dynamical_F_subnet_args_dropout,dynamical_F_subnet_args_activation,solution_u_args_layers_num,solution_u_args_hidden_dim,solution_u_args_dropout,solution_u_args_activation
True,False,10.0,3.0,15.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu,158,20528,0.0053640655241906,0.58075094,0.0072016326873188,0-0,,,,,,,,,
True,False,10.0,3.0,15.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu,131,13208,0.0055807386524975,0.6026371,0.0072047910145957,0-0,,,,,,,,,
True,True,10.0,5.0,15.0,0.0,sin,,,,,17,30572,0.0052832080982625484,0.5788349509239197,0.007238698156094988,0-0,10.0,3.0,15.0,0.0,sin,,,,
False,True,,,,,,,,,,210,14531,0.00518608558923,0.5619661,0.0072620294759919,0-0,5.0,5.0,8.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu
True,False,15.0,3.0,23.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu,134,22184,0.0057531655766069,0.6224184,0.0072754680406208,0-0,,,,,,,,,
True,False,10.0,2.0,15.0,0.0,leaky-relu,3.0,20.0,0.0,leaky-relu,112,4408,0.0055656041949987,0.6086412,0.0073320287549243,0-0,,,,,,,,,
True,False,10.0,2.0,15.0,0.0,leaky-relu,2.0,40.0,0.0,leaky-relu,94,4728,0.0054606739431619,0.5932374,0.0073380682062042,0-0,,,,,,,,,
True,False,5.0,5.0,8.0,0.0,sin,5.0,40.0,0.0,sin,13,11127,0.0054145436733961105,0.5954557657241821,0.007346597150742482,0-0,,,,,,,,,
False,True,,,,,,,,,,241,26366,0.005010936409235,0.5562024,0.007348139265507,0-0,15.0,2.0,23.0,0.0,leaky-relu,5.0,60.0,0.0,leaky-relu
True,False,15.0,2.0,23.0,0.0,leaky-relu,2.0,40.0,0.0,leaky-relu,97,8400,0.005593754351139,0.6078873,0.0073990677868264,0-0,,,,,,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu,127,6935,0.0055768294259905,0.608728,0.0074069327104874,0-0,,,,,,,,,
False,True,,,,,,,,,,226,7851,0.0050951614975929,0.56145257,0.007478801791963,0-0,5.0,2.0,8.0,0.0,leaky-relu,5.0,40.0,0.0,leaky-relu
True,True,10.0,5.0,15.0,0.0,leaky-relu,,,,,46,17657,0.0063453372567892,0.6866448,0.0074788754870667,0-0,5.0,2.0,8.0,0.0,leaky-relu,,,,
False,True,,,,,,,,,,207,74606,0.0057959398254752,0.62707335,0.0075203634047789,0-0,15.0,5.0,23.0,0.0,leaky-relu,3.0,40.0,0.0,leaky-relu
True,True,5.0,2.0,8.0,0.0,leaky-relu,,,,,2,5744,0.0056654610671103,0.61483455,0.0075479571815,0-0,5.0,3.0,8.0,0.0,leaky-relu,,,,
True,True,5.0,3.0,8.0,0.0,leaky-relu,,,,,17,35843,0.0054188105277717,0.59213436,0.0075647779227735,0-0,15.0,3.0,23.0,0.0,leaky-relu,,,,
True,False,5.0,2.0,8.0,0.0,leaky-relu,2.0,60.0,0.0,leaky-relu,100,3275,0.0061235041357576,0.6645006,0.0076436191514144,0-0,,,,,,,,,
False,True,,,,,,,,,,216,77006,0.0056044314987957,0.60978675,0.0076567412458744,0-0,15.0,5.0,23.0,0.0,leaky-relu,3.0,60.0,0.0,leaky-relu
True,True,15.0,2.0,23.0,0.0,leaky-relu,,,,,63,79124,0.0056237010285258,0.6113082,0.0076881516011632,0-0,15.0,5.0,23.0,0.0,leaky-relu,,,,
